BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1506
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.2131
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.7408
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	24.9177
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2389
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.3833
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.5019
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.5957
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.1829
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.2238
	
	
	
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	20.1586
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.2025
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	19.0442
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5306
	
	
	
DSP Corporate Bond Fund - Direct - Growth	14.0466
DSP Corporate Bond Fund - Direct - IDCW	11.4693
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4444
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.2041
DSP Corporate Bond Fund - Regular - Growth	13.8732
DSP Corporate Bond Fund - Regular - IDCW	11.4388
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4248
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.5683
	
	
	
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	91.7342
Franklin India Corporate Debt Fund - Growth	85.5896
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.5584
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.5395
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.8638
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5737
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.5856
